seq,device,hop,timestamp_s,kind,latency_ms
0,device_1,3,1780178026.770637,LED_ON,106.820
0,device_2,2,1780178026.734807,LED_ON,70.989
0,device_3,1,1780178026.706964,LED_ON,43.147
0,device_4,0,1780178026.663817,NET_FORM,0.000
1,device_4,0,1780178032.170906,LED_OFF,0.000
2,device_1,3,1780178032.296804,LED_OFF,102.411
2,device_2,2,1780178032.275337,LED_OFF,80.944
2,device_3,1,1780178032.252007,LED_OFF,57.614
2,device_4,0,1780178032.194393,LED_OFF,0.000
3,device_4,0,1780178036.576832,LED_ON,0.000
4,device_1,3,1780178036.885402,LED_ON,243.224
4,device_2,2,1780178036.860766,LED_ON,218.589
4,device_3,1,1780178036.843333,LED_ON,201.156
4,device_4,0,1780178036.642178,LED_ON,0.000
5,device_4,0,1780178038.371490,LED_OFF,0.000
6,device_1,3,1780178043.073476,LED_OFF,4541.866
6,device_2,2,1780178043.056124,LED_OFF,4524.513
6,device_3,1,1780178043.039000,LED_OFF,4507.389
6,device_4,0,1780178038.531611,LED_OFF,0.000
7,device_4,0,1780178043.226718,LED_ON,0.000
8,device_1,3,1780178045.729513,LED_ON,2320.680
8,device_2,2,1780178045.710867,LED_ON,2302.034
8,device_3,1,1780178045.689828,LED_ON,2280.995
8,device_4,0,1780178043.408833,LED_ON,0.000
9,device_4,0,1780178046.157217,LED_OFF,0.000
10,device_4,0,1780178046.175873,LED_OFF,0.000
11,device_4,0,1780178047.797024,LED_ON,0.000
12,device_1,3,1780178048.244227,LED_ON,199.827
12,device_2,2,1780178048.225213,LED_ON,180.813
12,device_3,1,1780178048.207697,LED_ON,163.297
12,device_4,0,1780178048.044400,LED_ON,0.000
13,device_4,0,1780178049.025584,LED_OFF,0.000
14,device_1,3,1780178050.853804,LED_OFF,1752.042
14,device_2,2,1780178050.836409,LED_OFF,1734.647
14,device_3,1,1780178050.817120,LED_OFF,1715.358
14,device_4,0,1780178049.101762,LED_OFF,0.000
