node_id,role,counter,temp,humidity,ts_ms,tx_ms
15,sink,0,9.4,66.6,1001,0
15,sink,1,110.9,3.6,1201,0
15,sink,2,33.2,68.5,1401,0
15,sink,3,132.8,70.8,1601,0
15,sink,4,6.0,27.1,1801,0
15,sink,5,167.9,92.9,2001,0
15,sink,6,120.0,41.5,2201,0
15,sink,7,150.2,50.6,2401,0
15,sink,8,58.2,59.0,2602,0
15,sink,9,72.1,17.3,2802,0
15,sink,10,-15.2,41.3,3002,0
15,sink,11,134.4,90.1,3202,0
15,sink,12,42.9,31.9,3402,0
15,sink,13,133.7,4.4,3602,0
15,sink,14,137.6,41.7,3802,0
15,sink,15,175.6,88.1,4002,0
15,sink,16,190.6,28.9,4202,0
15,sink,17,83.5,34.6,4403,0
15,sink,18,189.7,18.3,4603,0
15,sink,19,166.8,88.6,4803,0
15,sink,20,37.4,28.3,5003,0
15,sink,21,79.8,67.2,5203,0
15,sink,22,194.0,20.3,5403,0
15,sink,23,87.0,42.2,5603,0
15,sink,24,-25.0,48.2,5803,0
15,sink,25,184.6,38.6,6003,0
15,sink,26,56.5,81.2,6203,0
15,sink,27,146.4,54.8,6404,0
15,sink,28,0.8,39.5,6604,0
15,sink,29,5.3,34.6,6804,0
15,sink,30,150.9,6.0,7004,0
15,sink,31,177.8,48.2,7204,0
15,sink,32,16.6,87.7,7404,0
15,sink,33,150.1,33.8,7604,0
15,sink,34,110.7,56.6,7804,0
15,sink,35,157.2,32.9,8004,0
15,sink,36,-8.2,55.6,8204,0
15,sink,37,195.5,67.1,8405,0
15,sink,38,-15.7,2.2,8605,0
15,sink,39,-21.7,31.3,8805,0
15,sink,40,68.0,55.6,9005,0
15,sink,41,115.5,49.5,9205,0
15,sink,42,73.1,53.0,9405,0
15,sink,43,167.6,66.5,9605,0
15,sink,44,194.9,28.0,9805,0
15,sink,45,72.0,6.7,10005,0
15,sink,46,3.8,24.5,10206,0
15,sink,47,-19.2,95.9,10406,0
15,sink,48,-17.9,18.0,10606,0
15,sink,49,185.1,85.9,10806,0
15,sink,50,-11.7,63.5,11006,0
15,sink,51,28.5,88.6,11206,0
15,sink,52,40.4,45.3,11406,0
15,sink,53,9.2,38.8,11606,0
15,sink,54,105.8,75.8,11806,0
15,sink,55,199.0,39.3,12006,0
15,sink,56,44.5,4.8,12207,0
15,sink,57,-15.0,52.1,12407,0
15,sink,58,129.4,88.1,12607,0
15,sink,59,113.0,75.5,12807,0
15,sink,60,21.8,4.7,13007,0
15,sink,61,199.0,8.4,13207,0
15,sink,62,12.3,21.4,13407,0
15,sink,63,117.9,73.8,13607,0
15,sink,64,21.4,74.3,13807,0
15,sink,65,-17.8,1.1,14008,0
15,sink,66,81.9,4.0,14208,0
15,sink,67,72.0,15.5,14408,0
15,sink,68,194.3,67.4,14608,0
15,sink,69,186.3,80.0,14808,0
15,sink,70,178.4,87.3,15008,0
15,sink,71,181.1,10.6,15208,0
15,sink,72,42.9,74.8,15408,0
15,sink,73,12.3,7.1,15608,0
15,sink,74,147.6,67.9,15808,0
15,sink,75,112.4,16.8,16009,0
15,sink,76,35.7,23.3,16209,0
15,sink,77,-20.8,93.4,16409,0
15,sink,78,0.7,16.0,16609,0
15,sink,79,48.8,4.3,16809,0
15,sink,80,-11.4,38.4,17009,0
15,sink,81,183.5,9.6,17209,0
15,sink,82,122.8,99.5,17409,0
15,sink,83,-7.0,44.1,17609,0
15,sink,84,20.7,4.1,17809,0
15,sink,85,86.7,37.9,18010,0
15,sink,86,118.1,73.5,18210,0
15,sink,87,10.9,76.6,18410,0
15,sink,88,77.5,70.1,18610,0
15,sink,89,162.8,2.5,18810,0
15,sink,90,161.2,28.3,19010,0
15,sink,91,188.8,6.2,19210,0
15,sink,92,183.9,27.1,19410,0
15,sink,93,138.8,70.5,19610,0
15,sink,94,181.1,54.0,19811,0
15,sink,95,118.0,29.4,20011,0
15,sink,96,92.0,31.0,20211,0
15,sink,97,111.6,47.5,20411,0
15,sink,98,151.6,10.7,20611,0
15,sink,99,5.4,94.0,20811,0
15,sink,100,180.9,24.2,21011,0
15,sink,101,80.7,82.8,21211,0
15,sink,102,45.5,60.0,21411,0
15,sink,103,121.7,88.4,21611,0
15,sink,104,120.5,74.8,21812,0
15,sink,105,175.9,68.7,22012,0
15,sink,106,22.6,58.1,22212,0
15,sink,107,181.7,74.6,22412,0
15,sink,108,83.0,78.0,22612,0
15,sink,109,54.2,37.9,22812,0
15,sink,110,166.8,30.3,23012,0
15,sink,111,1.4,59.6,23212,0
15,sink,112,21.8,64.7,23413,0
15,sink,113,-5.3,99.8,23613,0
15,sink,114,92.1,50.1,23813,0
15,sink,115,155.5,22.4,24013,0
15,sink,116,178.8,11.1,24213,0
15,sink,117,39.3,73.0,24413,0
15,sink,118,71.3,88.7,24613,0
15,sink,119,146.7,60.7,24813,0
15,sink,120,182.0,20.5,25013,0
15,sink,121,132.2,4.8,25214,0
15,sink,122,159.5,42.1,25414,0
15,sink,123,141.3,23.2,25614,0
15,sink,124,126.6,33.9,25814,0
15,sink,125,39.5,63.3,26014,0
15,sink,126,153.2,79.3,26214,0
15,sink,127,8.1,58.5,26414,0
15,sink,128,196.0,70.2,26614,0
15,sink,129,46.5,48.8,26814,0
15,sink,130,140.5,38.3,27015,0
15,sink,131,184.5,43.3,27215,0
15,sink,132,101.2,5.1,27415,0
15,sink,133,155.3,70.2,27615,0
15,sink,134,196.5,65.5,27815,0
15,sink,135,27.0,58.4,28015,0
15,sink,136,187.1,91.7,28215,0
15,sink,137,-7.2,84.5,28415,0
15,sink,138,194.3,75.7,28615,0
15,sink,139,67.2,44.9,28816,0
15,sink,140,158.0,99.0,29016,0
15,sink,141,8.9,31.2,29216,0
15,sink,142,77.7,28.7,29416,0
15,sink,143,25.9,80.1,29616,0
15,sink,144,33.2,42.2,29816,0
15,sink,145,153.5,28.8,30016,0
15,sink,146,163.9,46.0,30216,0
15,sink,147,39.8,28.9,30416,0
15,sink,148,118.4,50.9,30617,0
15,sink,149,72.5,65.0,30817,0
15,sink,150,1.4,27.2,31017,0
15,sink,151,11.5,79.0,31217,0
15,sink,152,184.5,65.2,31417,0
15,sink,153,170.1,8.2,31617,0
15,sink,154,152.2,83.1,31817,0
15,sink,155,156.3,16.0,32017,0
15,sink,156,166.5,29.6,32218,0
15,sink,157,28.5,77.2,32418,0
15,sink,158,95.1,35.3,32618,0
15,sink,159,81.3,10.1,32818,0
15,sink,160,55.2,90.2,33018,0
15,sink,161,133.8,93.9,33218,0
15,sink,162,76.6,26.6,33418,0
15,sink,163,99.9,34.7,33618,0
15,sink,164,35.2,36.6,33818,0
15,sink,165,61.5,68.3,34018,0
15,sink,166,89.2,55.2,34219,0
15,sink,167,28.3,16.2,34419,0
15,sink,168,6.2,90.9,34619,0
15,sink,169,73.7,6.9,34819,0
15,sink,170,54.5,20.5,35019,0
15,sink,171,120.9,32.1,35219,0
15,sink,172,-6.9,23.3,35419,0
15,sink,173,15.5,40.0,35619,0
15,sink,174,72.7,10.0,35819,0
15,sink,175,-2.2,68.8,36020,0
15,sink,176,170.5,44.6,36220,0
15,sink,177,82.7,72.5,36420,0
15,sink,178,-13.5,28.0,36620,0
15,sink,179,135.9,44.1,36820,0
15,sink,180,42.4,68.9,37020,0
15,sink,181,147.5,59.7,37220,0
15,sink,182,-6.7,33.3,37420,0
15,sink,183,74.2,2.1,37620,0
15,sink,184,26.1,44.0,37821,0
15,sink,185,106.0,7.9,38021,0
15,sink,186,38.1,34.3,38221,0
